R0_kids,R0_adults,R0_grandparents,VE_0_kids,VE_0_adults,VE_0_grandparents,VE_0.8_kids,VE_0.8_adults,VE_0.8_grandparents,VE_1_kids,VE_1_adults,VE_1_grandparents
1.7,1.0,1.0,27.119869048203615,50.01204487985946,54.923524180232086,7.628646945323556,9.275712978129285,9.514594426708548,1.0,1.0,1.0
1.7,1.0,1.1,27.119869048203615,50.01204487985946,55.29850878857589,7.628646945323556,9.275712978129285,9.541883945148593,1.0,1.0,1.0
1.7,1.0,1.2,27.119869048203615,50.01204487985946,55.6179144419213,7.628646945323556,9.275712978129285,9.564697709601692,1.0,1.0,1.0
1.7,1.0,1.2999999999999998,27.119869048203615,50.01204487985946,55.89354363400847,7.628646945323556,9.275712978129285,9.584061040990312,1.0,1.0,1.0
1.7,1.0,1.4,27.119869048203615,50.01204487985946,56.134038478194356,7.628646945323556,9.275712978129285,9.600709182737878,1.0,1.0,1.0
1.7,1.25,1.0,27.119869048203615,50.83141085895509,54.923524180232086,7.628646945323556,9.33977026527166,9.514594426708548,1.0,1.0,1.0
1.7,1.25,1.1,27.119869048203615,50.83141085895509,55.29850878857589,7.628646945323556,9.33977026527166,9.541883945148593,1.0,1.0,1.0
1.7,1.25,1.2,27.119869048203615,50.83141085895509,55.6179144419213,7.628646945323556,9.33977026527166,9.564697709601692,1.0,1.0,1.0
1.7,1.25,1.2999999999999998,27.119869048203615,50.83141085895509,55.89354363400847,7.628646945323556,9.33977026527166,9.584061040990312,1.0,1.0,1.0
1.7,1.25,1.4,27.119869048203615,50.83141085895509,56.134038478194356,7.628646945323556,9.33977026527166,9.600709182737878,1.0,1.0,1.0
1.7,1.5,1.0,27.119869048203615,51.404882023563246,54.923524180232086,7.628646945323556,9.382803149021788,9.514594426708548,1.0,1.0,1.0
1.7,1.5,1.1,27.119869048203615,51.404882023563246,55.29850878857589,7.628646945323556,9.382803149021788,9.541883945148593,1.0,1.0,1.0
1.7,1.5,1.2,27.119869048203615,51.404882023563246,55.6179144419213,7.628646945323556,9.382803149021788,9.564697709601692,1.0,1.0,1.0
1.7,1.5,1.2999999999999998,27.119869048203615,51.404882023563246,55.89354363400847,7.628646945323556,9.382803149021788,9.584061040990312,1.0,1.0,1.0
1.7,1.5,1.4,27.119869048203615,51.404882023563246,56.134038478194356,7.628646945323556,9.382803149021788,9.600709182737878,1.0,1.0,1.0
1.7,1.75,1.0,27.119869048203615,51.83061083984137,54.923524180232086,7.628646945323556,9.41377038875309,9.514594426708548,1.0,1.0,1.0
